epoch,loss,reg_prop_pred_loss,val_loss,val_reg_prop_pred_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,2070.7538096110025,4141.418385823567,1842.6885579427083,3680.1978352864585,0.6786629954973856,5.179340680440267,3.7017207432654686e-07,0.019060874357819557,0.9751793295145035,0.08924650990714629,3.7017207432654686e-07,0.007588817330542952
1,1881.7192840576172,3763.123077392578,1451.4877522786458,2897.6151529947915,0.6674298048019409,5.360398769378662,6.168544928186748e-07,0.02721168597539266,0.9116491129000982,0.31551616949339706,6.168544928186748e-07,0.008333543315529823
2,1752.9766082763672,3505.559092203776,1323.13037109375,2641.683837890625,0.7160409092903137,4.576880137125651,1.0279256912326673e-06,0.03279705469806989,0.8800118292371432,0.3941078844169776,1.0279256912326673e-06,0.010030392867823442
3,1638.8603922526042,3277.3329569498696,1073.1272786458333,2142.4413248697915,0.7634157538414001,3.8132871786753335,1.7129339084931416e-06,0.03489683444301287,0.8757364203532537,0.3878218357761701,1.7129339084931416e-06,0.01070051834297677
4,1530.5272623697917,3060.6759134928384,945.8061930338541,1887.7828369140625,0.762408435344696,3.82952348391215,2.8544293400045717e-06,0.03632043426235517,0.8767074942588806,0.37862399717171985,2.8544293400045717e-06,0.010090492432937026
5,1424.5914916992188,2848.8113403320312,861.1071573893229,1718.4204915364583,0.7646214763323466,3.7938531239827475,4.756610906042624e-06,0.027447441592812538,0.8785237371921539,0.3716297472516696,4.756610906042624e-06,0.009418190806172788
6,1324.7307434082031,2649.093922932943,881.9220581054688,1760.0797526041667,0.7664529879887899,3.7643330891927085,7.92639002611395e-06,0.015131768770515919,0.8793917894363403,0.3675839714705944,7.92639002611395e-06,0.0087293340669324
7,1228.594762166341,2456.831258138021,1071.5329182942708,2139.3246256510415,0.7678876717885336,3.741208473841349,1.3208464224589989e-05,0.010214931021134058,0.8818414285778999,0.3582603832085927,1.3208464224589989e-05,0.008286611021806797
8,1137.7416254679363,2275.1316680908203,1174.6759033203125,2345.6275227864585,0.76894078652064,3.724234422047933,2.2010388420312665e-05,0.009783058737715086,0.8836328660448393,0.35158491879701614,2.2010388420312665e-05,0.007564794602027784
9,1052.962781270345,2105.5782419840493,1135.7749837239583,2267.81787109375,0.7684523661931356,3.732106606165568,3.66775639122352e-05,0.009274127893149853,0.8855120539665222,0.3473183363676071,3.66775639122352e-05,0.006801587471272796
